date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-28,Sassari,Torino,23.742465753424657,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-04,Sassari,Cremona,23.76164383561644,0,9,1,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,2.7,-4
2018-11-10,Sassari,Venezia,23.778082191780822,0,11,0,1,0.000,0,1,0.0,2,2,1.0,0,3,3,4,1,0,0,1,2,5.6,3
2018-11-18,Sassari,Pistoia,23.8,0,15,1,2,0.500,1,2,0.5,0,0,0.0,1,0,1,1,1,0,0,0,3,4.4,6
2018-11-25,Sassari,Trentino,23.81917808219178,0,17,1,7,0.143,1,4,0.25,0,0,0.0,0,1,1,0,0,0,0,0,3,-1.1999999999999995,-7
2018-12-09,Sassari,Virtus Bologna,23.857534246575344,0,15,1,5,0.200,0,3,0.0,0,0,0.0,0,1,1,3,1,0,1,1,2,0.8999999999999999,1
2018-12-16,Sassari,Milano,23.876712328767123,0,17,3,7,0.429,0,1,0.0,0,0,0.0,0,0,0,1,1,0,3,2,6,0.20000000000000107,10
2018-12-23,Sassari,Avellino,23.895890410958906,0,7,0,1,0.000,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-0.09999999999999998,-7
2018-12-26,Sassari,Pesaro,23.904109589041095,0,16,5,6,0.833,3,4,0.75,0,0,0.0,0,1,1,6,2,0,1,4,13,14.700000000000001,21
2018-12-30,Sassari,Brescia,23.915068493150685,0,12,1,4,0.250,1,4,0.25,0,0,0.0,1,1,2,1,0,0,0,0,3,2.3,6
2019-01-06,Sassari,Trieste,23.934246575342467,0,13,1,4,0.250,0,2,0.0,2,2,1.0,1,1,2,2,2,0,1,5,4,3.0,-3
2019-01-12,Sassari,Cantù,23.95068493150685,0,10,1,2,0.500,0,1,0.0,1,2,0.5,0,1,1,2,0,0,1,1,3,1.9,-3
2019-01-20,Sassari,Reggio Emilia,23.972602739726028,0,13,1,4,0.250,1,2,0.5,0,0,0.0,0,1,1,1,1,0,0,1,3,2.2,9
2019-01-27,Sassari,Varese,23.991780821917807,0,24,1,5,0.200,1,5,0.2,4,4,1.0,0,2,2,2,0,0,3,3,7,1.7000000000000002,-18
2019-02-03,Sassari,Brindisi,24.01095890410959,1,39,6,10,0.600,4,6,0.667,6,6,1.0,1,2,3,6,6,0,1,3,22,26.7,-2
2019-02-10,Sassari,Torino,24.03013698630137,1,26,4,10,0.400,2,8,0.25,0,0,0.0,1,3,4,2,1,0,1,3,10,6.3999999999999995,-10
2019-03-10,Sassari,Venezia,24.106849315068494,1,18,5,7,0.714,3,4,0.75,0,0,0.0,1,3,4,1,0,0,0,3,13,11.2,2
2019-03-17,Sassari,Pistoia,24.126027397260273,0,11,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,-0.7999999999999999,7
2019-03-24,Sassari,Trentino,24.145205479452056,0,10,0,2,0.000,0,1,0.0,0,0,0.0,0,3,3,1,1,0,0,1,0,0.7999999999999999,9
2019-03-31,Sassari,Virtus Bologna,24.164383561643834,0,18,2,5,0.400,2,5,0.4,0,0,0.0,0,2,2,1,0,0,3,5,6,-0.40000000000000036,19
2019-04-07,Sassari,Milano,24.183561643835617,0,22,3,7,0.429,0,4,0.0,0,0,0.0,0,3,3,1,2,0,0,4,6,4.300000000000001,6
2019-04-14,Sassari,Avellino,24.202739726027396,0,20,4,7,0.571,3,5,0.6,0,0,0.0,0,1,1,3,0,0,2,3,11,6.899999999999999,12
2019-04-20,Sassari,Pesaro,24.21917808219178,0,16,2,5,0.400,2,4,0.5,0,0,0.0,0,1,1,1,0,0,0,2,6,3.5,-16
2019-04-28,Sassari,Brescia,24.24109589041096,0,27,5,11,0.455,4,9,0.444,3,4,0.75,1,4,5,6,2,0,0,3,17,17.8,16
2019-05-05,Sassari,Trieste,24.26027397260274,0,26,5,10,0.500,3,7,0.429,3,3,1.0,1,1,2,5,2,0,1,2,16,15.7,7
