date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-06,Avellino,Cantù,24.78356164383562,0,20,4,7,0.571,1,2,0.5,2,2,1.0,0,1,1,3,2,0,3,3,11,7.899999999999999,-2
2018-10-14,Avellino,Cremona,24.805479452054794,0,26,7,9,0.778,1,3,0.333,2,3,0.667,0,1,1,5,1,0,1,4,17,15.299999999999997,-4
2018-10-21,Avellino,Virtus Bologna,24.824657534246576,0,24,5,12,0.417,1,3,0.333,1,2,0.5,2,3,5,5,2,0,1,1,12,11.600000000000001,-7
2018-10-27,Avellino,Brescia,24.84109589041096,0,27,6,12,0.500,3,6,0.5,3,4,0.75,2,5,7,2,2,1,0,3,18,17.4,-4
2018-11-03,Avellino,Trentino,24.86027397260274,0,21,6,12,0.500,0,3,0.0,2,3,0.667,1,2,3,2,0,0,1,4,14,7.699999999999999,11
2018-11-11,Avellino,Varese,24.88219178082192,0,16,1,6,0.167,1,4,0.25,0,0,0.0,1,3,4,3,0,0,1,3,3,0.7000000000000002,-1
2018-11-18,Avellino,Reggio Emilia,24.9013698630137,0,23,2,9,0.222,0,3,0.0,0,0,0.0,1,2,3,6,0,0,2,3,4,0.7999999999999989,5
2018-11-25,Avellino,Venezia,24.92054794520548,0,27,5,14,0.357,1,2,0.5,0,0,0.0,2,3,5,1,0,0,3,4,11,1.6000000000000014,-17
2018-12-09,Avellino,Pesaro,24.958904109589042,0,23,4,5,0.800,2,3,0.667,0,0,0.0,1,3,4,2,0,0,2,1,10,8.7,-10
2018-12-16,Avellino,Trieste,24.97808219178082,0,21,2,11,0.182,0,2,0.0,3,4,0.75,1,1,2,0,1,0,1,2,7,-0.09999999999999964,-29
2018-12-23,Avellino,Sassari,24.997260273972604,1,32,8,14,0.571,4,5,0.8,3,4,0.75,1,2,3,9,2,0,1,4,23,23.0,4
2018-12-26,Avellino,Torino,25.005479452054793,1,27,9,15,0.600,1,6,0.167,2,3,0.667,1,3,4,1,1,0,1,4,21,14.4,28
2018-12-30,Avellino,Milano,25.016438356164382,0,36,12,23,0.522,3,7,0.429,4,5,0.8,0,4,4,7,2,0,1,2,31,25.599999999999998,0
2019-01-05,Avellino,Brindisi,25.03287671232877,1,32,7,13,0.538,1,5,0.2,1,2,0.5,0,4,4,2,1,0,3,3,16,8.7,2
2019-01-13,Avellino,Pistoia,25.054794520547944,1,28,9,13,0.692,4,6,0.667,1,2,0.5,0,1,1,4,1,0,3,4,23,16.6,4
2019-01-19,Avellino,Cantù,25.07123287671233,1,34,7,15,0.467,1,7,0.143,4,4,1.0,0,3,3,5,2,0,2,3,19,14.500000000000004,-5
2019-01-27,Avellino,Cremona,25.09315068493151,1,36,8,18,0.444,6,11,0.545,6,8,0.75,1,4,5,6,3,0,5,3,28,20.7,2
2019-02-03,Avellino,Virtus Bologna,25.112328767123287,1,28,10,22,0.455,4,7,0.571,1,1,1.0,1,3,4,2,2,0,2,2,25,15.8,-2
2019-02-10,Avellino,Brescia,25.13150684931507,1,33,5,12,0.417,2,3,0.667,7,8,0.875,0,1,1,4,2,1,2,4,19,14.399999999999999,10
2019-03-03,Avellino,Trentino,25.18904109589041,1,35,4,11,0.364,1,4,0.25,2,2,1.0,0,2,2,3,0,0,4,4,11,2.0,-17
2019-03-10,Avellino,Varese,25.208219178082192,1,40,3,12,0.250,1,6,0.167,4,7,0.571,2,1,3,11,1,0,1,3,11,10.8,5
2019-03-17,Avellino,Reggio Emilia,25.22739726027397,1,34,10,20,0.500,3,7,0.429,6,6,1.0,1,3,4,6,2,0,3,1,29,23.4,32
2019-03-24,Avellino,Venezia,25.246575342465754,1,30,3,8,0.375,1,5,0.2,2,2,1.0,0,2,2,3,2,0,6,2,9,2.4999999999999982,-8
2019-03-31,Avellino,Pesaro,25.265753424657536,1,31,7,12,0.583,4,6,0.667,0,0,0.0,0,3,3,2,1,0,1,4,18,13.100000000000003,3
2019-04-09,Avellino,Trieste,25.29041095890411,1,44,10,19,0.526,2,7,0.286,7,9,0.778,0,5,5,2,1,0,1,3,29,20.6,-4
2019-04-14,Avellino,Sassari,25.304109589041097,1,32,9,15,0.600,2,3,0.667,1,2,0.5,0,3,3,6,0,0,1,4,21,16.2,-14
2019-04-20,Avellino,Torino,25.32054794520548,1,24,8,11,0.727,0,1,0.0,2,2,1.0,1,2,3,5,2,0,1,1,18,18.9,32
2019-04-28,Avellino,Milano,25.34246575342466,1,31,5,14,0.357,3,6,0.5,2,3,0.667,0,4,4,7,0,0,2,5,15,8.899999999999999,-8
2019-05-05,Avellino,Brindisi,25.361643835616437,1,36,8,19,0.421,1,5,0.2,3,3,1.0,0,4,4,8,1,0,2,5,20,13.7,2
